make_model_ordinal,body_type_ordinal,price,km,type_ordinal,previous_owners,fuel_ordinal,inspection_new,drive_chain,co2_emission,gears,age,hp_kW,upholstery_type_ordinal,gearing_type_ordinal,displacement_cc,weight_kg,comb_consumption,comfort_convenience_package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled
0,0,17445,45276.0,0,1.0,1,1,2,109.0,7.0,3.0,110.0,1,0,1395.0,1135.0,4.7,0,5,0,0
0,2,17370,16607.0,0,1.0,1,1,2,104.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.4,2,2,0,0
0,2,17350,26462.0,0,1.0,1,1,2,102.0,7.0,3.0,70.0,0,0,999.0,1180.0,4.4,0,3,0,0
0,2,17900,62000.0,0,1.0,0,0,2,99.0,7.0,2.0,66.0,0,0,1422.0,1195.0,3.8,0,3,0,0
0,2,17930,40257.0,0,1.0,0,1,2,99.0,7.0,2.0,85.0,1,0,1598.0,1250.0,3.8,0,5,0,0
0,2,17920,36709.0,0,1.0,0,1,2,99.0,7.0,3.0,85.0,0,0,1598.0,1180.0,3.8,0,1,0,0
0,0,17900,25330.0,0,1.0,1,0,2,103.0,7.0,2.0,70.0,1,0,999.0,1610.0,4.5,2,1,0,1
0,2,17900,11300.0,0,1.0,0,0,2,102.0,7.0,3.0,66.0,0,0,999.0,1180.0,3.9,2,1,0,0
0,2,17900,10170.0,0,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.6,0,4,0,0
0,0,17900,12260.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,1,0,1598.0,1275.0,4.0,2,1,0,0
0,2,17900,44604.0,0,1.0,1,0,2,100.0,7.0,3.0,70.0,0,0,999.0,1180.0,4.2,0,3,0,0
0,0,17900,25751.0,0,1.0,1,0,2,104.0,7.0,2.0,71.0,1,0,999.0,1135.0,4.6,2,1,0,1
0,0,17900,13000.0,0,1.0,1,0,2,102.0,7.0,2.0,70.0,1,0,999.0,1165.0,4.4,2,2,0,1
0,0,17900,63136.0,0,1.0,1,0,2,102.0,7.0,3.0,70.0,0,0,999.0,1135.0,4.4,2,3,0,0
0,0,17900,21900.0,0,1.0,0,0,2,99.0,7.0,2.0,85.0,0,0,1598.0,1175.0,3.8,2,1,0,1
0,0,17900,23357.0,0,1.0,1,0,2,102.0,7.0,3.0,70.0,1,0,999.0,1580.0,4.4,2,1,0,1
0,2,17900,40000.0,0,2.0,1,1,2,116.0,7.0,3.0,110.0,1,0,1395.0,1180.0,5.0,2,4,0,0
